pid,category name,Brand,Title,Rating,number reviews,URL,Price,Currency
9300000042498642,Muziekinstrumenten,Roegaarden,Capo | Capo Gitaar | met PLECTRUMS | Universeel | Licht en stevig,4.0,8,/nl/nl/p/capo-capo-gitaar-met-plectrums-universeel-licht-en-stevig/9300000042498642/,0.0,€
9200000030698737,Muziekinstrumenten,Merkloos,Klassieke Mechanische Metronoom,4.2,22,/nl/nl/p/klassieke-mechanische-metronoom/9200000030698737/,26.95,€
9300000019078451,Muziekinstrumenten,PIXMY Video & Photo,PIXMY - Piano Keyboard MP20 COMPLEET - Voor Kinderen- 61Keys - Digitale Piano - Keyboard Piano - Elektrische Piano - Elektronisch Orgel,4.0,24,/nl/nl/p/pixmy-piano-keyboard-mp20-compleet-voor-kinderen-61keys-digitale-piano-keyboard-piano-elektrische-piano-elektronisch-orgel/9300000019078451/,89.0,€
9200000092152284,Muziekinstrumenten,A\xc3\xa9ngus,\xc3\x81engus Kazoo \xe2\x80\x93 Metaal Goud,3.5,44,/nl/nl/p/aengus-kazoo-metaal-goud/9200000092152284/,0.0,€
9200000114043736,Muziekinstrumenten,\xc3\x81engus,"Universele Gitaar Muurbeugel om gitaar op te hangen \xe2\x80\x93 Gitaarhaak, Gitaarhouder, Muurhaak voor gitaar",4.2,33,/nl/nl/p/universele-gitaar-muurbeugel-om-gitaar-op-te-hangen-gitaarhaak-gitaarhouder-muurhaak-voor-gitaar/9200000114043736/,9.95,€
9200000042964589,Muziekinstrumenten,Merkloos,Drumstokken 5A Hickory,4.3,16,/nl/nl/p/drumstokken-5a-hickory/9200000042964589/,9.95,€
9200000069072319,Muziekinstrumenten,\xc3\x81engus,Goed klinkende klassieke gitaar in 4/4-formaat met met truss rod en chique afwerking - zwart,5.0,5,/nl/nl/p/goed-klinkende-klassieke-gitaar-in-4-4-formaat-met-met-truss-rod-en-chique-afwerking-zwart/9200000069072319/,62.96,€
9300000003383983,Muziekinstrumenten,Boston,"Boston PLM-180-BK - Piano lamp, LED, zwart",4.9,8,/nl/nl/p/boston-plm-180-bk-piano-lamp-led-zwart/9300000003383983/,49.35,€
9200000057039801,Muziekinstrumenten,Memphis,Blues mondharmonica in C- 10 gaats,4.7,15,/nl/nl/p/blues-mondharmonica-in-c-10-gaats/9200000057039801/,14.5,€
9300000014813915,Muziekinstrumenten,MAX,Keyboard met 54 fullsize toetsen - MAX KB7 - 3 trainingsfuncties - 200 geluidseffecten,5.0,2,/nl/nl/p/keyboard-met-54-fullsize-toetsen-max-kb7-3-trainingsfuncties-200-geluidseffecten/9300000014813915/,59.95,€
9300000036903443,Muziekinstrumenten,Rock 'n Soul,Rock 'n Soul - Gitaarband - Pina 5 Naturel - Vegan - Handgemaakt van Pinatex,0.0,0,/nl/nl/p/rock-n-soul-gitaarband-pina-5-naturel-vegan-handgemaakt-van-pinatex/9300000036903443/,63.0,€
9300000004690834,Muziekinstrumenten,Vonyx,Keyboardstandaard en keyboardbankje - Vonyx keyboardstandaard en KBB10 keyboardbankje - Beide in hoogte verstelbaar - Zwart,4.3,3,/nl/nl/p/keyboardstandaard-en-keyboardbankje-vonyx-keyboardstandaard-en-kbb10-keyboardbankje-beide-in-hoogte-verstelbaar-zwart/9300000004690834/,58.95,€
